name,taxId,email,accountTypes,phone,address,businessName,representative,documentType,alternatePhone,country,accountCode,notes
LATAM CARGO,MCX-161,mcx-161@mcxpending.com,CARRIER;COMPANY,,,,,,,,MCX-161,
"KEG GROUP CO.,LTD",MCX-163,info@keggroup.com.cn,SHIPPER,+86 131 3630 0008,"GuanhaiWei Industry Zone, Cixi, China",,,,,,MCX-163,
SONIC CAPITAL SRL,133151456,mcx-164@mcxpending.com,CONSIGNEE,,"SANTO DOMINGO, RD",,,,,,MCX-164,
MYLAN IRELAND LIMITED,MCX-165,mcx-165@mcxpending.com,SHIPPER,,,,,,,,MCX-165,
"Berkeley, California, EE. UU.",MCX-166,mcx-166@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-166,
DECOR KENIA,MCX-167,mcx-167@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-167,
FAJARTE,MCX-168,mcx-168@mcxpending.com,INDIVIDUAL;CONSIGNEE,,REPUBLICA DOMINICANA,,,,,,MCX-168,
NOVEDADES JIREH,MCX-169,mcx-169@mcxpending.com,INDIVIDUAL;CONSIGNEE,,REPUBLICA DOMINICANA,,,,,,MCX-169,
LIDIA SANTANA,MCX-170,mcx-170@mcxpending.com,INDIVIDUAL;CONSIGNEE,,REPUBLICA DOMINICANA,,,,,,MCX-170,
LITTLE BABY,MCX-171,mcx-171@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-171,
MUEBLES GAEL,MCX-172,mcx-172@mcxpending.com,INDIVIDUAL;CONSIGNEE,,REPUBLICA DOMINICANA,,,,,,MCX-172,
OLGA VARIEDADES,MCX-173,mcx-173@mcxpending.com,INDIVIDUAL;CONSIGNEE,,RD,,,,,,MCX-173,
TIENDA PREMON PERLA UEVA,MCX-174,mcx-174@mcxpending.com,INDIVIDUAL;CONSIGNEE,,RD,,,,,,MCX-174,
PLAZA PITUA,MCX-175,mcx-175@mcxpending.com,INDIVIDUAL;CONSIGNEE,,RD,,,,,,MCX-175,
SOLUCIONES GARE,MCX-176,mcx-176@mcxpending.com,INDIVIDUAL;CONSIGNEE,,RD,,,,,,MCX-176,
TRUETHER GROUP SRL,131153077,mcx-177@mcxpending.com,INDIVIDUAL;CONSIGNEE,849-333-2851,"AV. CHARLES DE GAULLE, NO. 3, CASI ESQ.
CARRETERA MELLA ALMIRANTE SANTO
DOMINGO",,,,,,MCX-177,
PUNTO 21 STORE SRL,131990487,mcx-178@mcxpending.com,CONSIGNEE,(809) 684-8682,"C. Manuela Diez No 249, Santo Domingo 10306",,,,,,MCX-178,
"Calle 11 No. 6 - 119 bodega 38 G zona industrial la Macarena, Pereira, Colombia",MCX-180,mcx-180@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-180,
PENTA BOX SRL,MCX-181,mcx-181@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-181,
PENTA BOX SRL,MCX-182,max.zandi@pentabox.eu,INDIVIDUAL;CONSIGNEE,+ 39 333 6876068,"Strada Pastorului, Arad",,,,,,MCX-182,
TIENDAS LAS MARAVILLAS,MCX-183,mcx-183@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-183,
ROLFHI HERNANDEZ,MCX-184,mcx-184@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"203 Avenida 27 de Febrero, Santo Domingo",,,RNC,,DO,MCX-184,
FG FOR YOU,MCX-185,mcx-185@mcxpending.com,INDIVIDUAL;CONSIGNEE,,ENSANCHE OZAMA,,,,,,MCX-185,
LOIS E MOTORS MOVILIDAD ELECTRICA,MCX-187,mcx-187@mcxpending.com,INDIVIDUAL;CONSIGNEE,,Bonao,,,RNC,,DO,MCX-187,
MIA GARDENNS,MCX-188,mcx-188@mcxpending.com,INDIVIDUAL;CONSIGNEE,,MIAMIA,,,,,,MCX-188,
MARINE EXPRESS,MCX-189,mcx-189@mcxpending.com,CARRIER;COMPANY,,,,,,,,MCX-189,
"FUJIAN HAOBANG IMPORT & EXPORT CO.,LTO.",MCX-190,mcx-190@mcxpending.com,SHIPPER,0595-85697922,"ROOM 201.1ST FLOOR.BUILDING 3. SANJIAONEI COMMERCIAL ANO
RESIOENTIAL EAST OISTRICT,NO 55, SHIGU ROAD,MEIQING CDMMUNITY MEILING STREET,JINJIANG CITY",,,,,,MCX-190,
ITSUPPORT INC,MCX-191,Sales@itsuppotcala.com,SHIPPER,7867061606,"7491 eATON sT, 33024 Hollywood, Florida",,,,,,MCX-191,
PROMPTUS,MCX-192,mcx-192@mcxpending.com,SHIPPER,,"PROMPTUS, LLC AS AGENT FOR THE CONSIGNEE
 3950 EXECUTIVE WAY
 MIRAMAR, FL 33025. UNITED STATES OF AMERICA",,,,,,MCX-192,
Mylan Ireland Limited,MCX-193,mcx-193@mcxpending.com,SHIPPER,,"Mylan Ireland Limited
 Shippers Account Number
 Newenham Court, Northern Cross
 Malahide Road,
 06079 Dublin 17 IRELAND",,,,,,MCX-193,
"ASG DOMINICANA, SAS",130336164,mcx-194@mcxpending.com,CARRIER;COMPANY,1 809-685-3760,"ASG DOMINICANA, SAS
 CALLE JOSE GABRIEL GARCIA # 8, ZONA
COLONIAL
 SANTO DOMINGO, REP?BLICA DOMINICANA",,,,,,MCX-194,
CHARTER LINK LOGISTICS (HK) LIMITED O/B  P,MCX-195,mcx-195@mcxpending.com,SHIPPER,,"CHARTER LINK LOGISTICS (HK) LIMITED O/B
 PARAMOUNT CORPORATION INC
 613, GANESH GLORY, NR. GODREJ GARDEN CITY,
 JAGATPUR, ,AHMEDABAD, AHMADABAD,
 GUJARAT, 382470",,,,,,MCX-195,
PIER 17 GROUP DOMINICANA,MCX-196,mcx-196@mcxpending.com,CARRIER;COMPANY,809-567-9100,"Pier 17 Group Dominicana, S.A.
Av. Gustavo Mejia Ricart No. 128
 Edificio ELAB, Suite 107
 Evaristo Morales, Sto Dgo. R.D.",,,,,,MCX-196,
CHINA LOGISTICS SERVICES CLS  SRL,MCX-197,mcx-197@mcxpending.com,CONSIGNEE,,,,,,,,MCX-197,
INTERNATIONAL DONGCHENG,MCX-198,mcx-198@mcxpending.com,CONSIGNEE,,,,,,,,MCX-198,
KENIYA SRL SRL,131940811,mcx-199@mcxpending.com,CONSIGNEE,,"177 Avenida San Mart?n, Santo Domingo",,,RNC,,DO,MCX-199,
EVOLET HEALTCARE PVT LTD,MCX-200,mcx-200@mcxpending.com,SHIPPER,,,,,,,,MCX-200,
EPIC CARGO,MCX-201,mcx-201@mcxpending.com,CARRIER;COMPANY,(809) 373-0689,"Plaza bonaire, Av. San Vicente de Pa?l, Santo Domingo Este 11504",,,,,,MCX-201,
"SHANGHAI WANWAY DIGITAL TECHNOLOGY CO.,LTD",MCX-202,mcx-202@mcxpending.com,SHIPPER,15089413647,"SHANGHAI WANWAY DIGITAL TECHNOLOGY CO.,LTD.
 5G BIG SHOT INDUSTRIAL PARK, NO.58, LANE 1188,
WENCHUAN ROAD, BAOSHAN DISTRICT, SHANGHAI,
CHINA",,,,,,MCX-202,
IMPORTADORA TAVAREZ MARTINEZ SRL,102613443,mcx-203@mcxpending.com,CONSIGNEE,8297709592,"MANZANA A, EDIFICIO 19, APARTAMENTO 1-B, VILLA OLIMPICA, SANTIAGO",,,,,,MCX-203,
"HIKVISION PANAMA COMMERCIAL,S.A.",MCX-204,mcx-204@mcxpending.com,SHIPPER,,"HIKVISION PANAMA COMMERCIAL,S.A.   
France Field, Calle #6, Avenida 4ta, Manzana 34,    
Ciudad de Colon, Zona libre de Colon.",,,,,,MCX-204,
COMPLEMENTOS LA BOUTIQUE DEL HOGAR SRL,130414203,mcx-205@mcxpending.com,CONSIGNEE;SHIPPER,,"SANCHEZ 124, SECTOR MIRAMAR, SAN PEDRO, REPUBLICA DOMINICANA",,,,,,MCX-205,CLIENTE NEYRA PANAMA.
BHS ROBOTICS,MCX-206,mcx-206@mcxpending.com,SHIPPER;CONSIGNEE,630.784.0800,"865 Muirfield Dr Hanover Park. IL 60133, Hanover Park",,,,,,MCX-206,
"APS GOLDEN GROUP CO.,LIMITED",MCX-207,mcx-207@mcxpending.com,SHIPPER,,53 Lockhart Road,,,,,,MCX-207,
305 Logistics Cargo LLC,MCX-208,info@305logisticscargo.com,INDIVIDUAL;CONSIGNEE,+1 3057289072,"2016 Northwest 135th Avenue, Miami",,,,,,MCX-208,
Parque Industrial Las Americas,MCX-209,mcx-209@mcxpending.com,INDIVIDUAL;CONSIGNEE,,Pacora,,,,,,MCX-209,
MANGUERAS Y CONEXIONES,MCX-210,mcx-210@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-210,
MONICA MAX PETS,MCX-211,mcx-211@mcxpending.com,INDIVIDUAL;CONSIGNEE,8096947492,Republica Dominicana,,,,,,MCX-211,
ELIANA NIEME,MCX-212,mcx-212@mcxpending.com,INDIVIDUAL;CONSIGNEE,8687247161,UNIT #5 LOT #12 LABURNAM AVENUE RETIT VALLER PART OF SPAIN TRINIDAD Y TOBAGO,,,,,,MCX-212,
LEANNY CONSUELO MESA,MCX-213,mcx-213@mcxpending.com,INDIVIDUAL;CONSIGNEE,9787716819,"59 DOUVERST APT 2 MANCHESTER NH, Z.C 03102",,,,,,MCX-213,
CAMILA BOTARELI,MCX-214,mcx-214@mcxpending.com,INDIVIDUAL;CONSIGNEE,34608359513,"MADRID ESPA?A PASEO DE LA CASTELLANA 193,901 CODIGO POSTAL 28046",,,,,,MCX-214,
IMP GLOBAL LOGISTIC TRANSPORT,MCX-215,mcx-215@mcxpending.com,CARRIER;COMPANY,809-378-1027,"IMP GLOBAL LOGISTIC TRANSPORT
 C/ ROBERTO PASTORIZA ESQ. MANUEL DE
 JESUS TRONCOSO, TORRE DA VINCI, 5TO NIVEL.
 SANTO DOMINGO, REP. DOMINICANA",,,,,,MCX-215,
NINGBO LINKBASIC INTERNATIONAL TRADING CO LTD,MCX-216,mcx-216@mcxpending.com,SHIPPER,,"NINGBO LINKBASIC INTERNATIONAL TRADING CO LTD
 C277,NO.5,ZHONGCHUANGYUAN,BINHAISI ROAD
 NORTH,HANGZHOU BAY NEW ZONE,NINGBO,ZHEJIANG
 PROVINCE,CHINA
 TID                               
TEL:1",,,,,,MCX-216,
NOVOA FASHION,MCX-217,mcx-217@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-217,
"CHICAGO ELECTRIC SALES, INC.",813013064,mcx-218@mcxpending.com,SHIPPER,,"490 TOWER BOULEVARD CAROL STREAM, IL 60188",,,,,,MCX-218,
hapag-lloyd.com,MCX-219,mcx-219@mcxpending.com,CARRIER;COMPANY,,,,,,,,MCX-219,
HAPAG LLOYD,MCX-220,mcx-220@mcxpending.com,CARRIER;COMPANY,,"353 Avenida George Washington, Santo Domingo",,,RNC,,DO,MCX-220,
CORRE AGUA,MCX-221,mcx-221@mcxpending.com,SHIPPER,,"Carretera Interamericana, Pacora",,,,,,MCX-221,
PUNTO 21 STORE SRL,131990487,mcx-222@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"AVE.CHARLES DE GAULLE,CSANTO DOMINIGO ESTE ,REPUBLICA DOMINICANA",,,,,,MCX-222,
"COMPLEMENTOS, SRL",130414203,mcx-223@mcxpending.com,INDIVIDUAL;CONSIGNEE,809-529-5070 / 526-6370,"CALLE SANCHEZ 124
SAN PEDRO DE MACORIS,
REP. DOMINICANA",,,,,,MCX-223,
MIRIAM LIMA,MCX-224,mcx-224@mcxpending.com,INDIVIDUAL;CONSIGNEE,+1 (809) 924-6506,"Avenida Rep?blica de Colombia, Santo Domingo",,,RNC,,DO,MCX-224,
DANNY CONCEPCION,MCX-225,mcx-225@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-225,
GISELA DEL CARMEN,MCX-226,mcx-226@mcxpending.com,INDIVIDUAL;CONSIGNEE,,Santo Domingo,,,RNC,,DO,MCX-226,
1805 Commerce Road Springfield,MCX-227,mcx-227@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"1805 Commerce Road, Springfield",,,,,,MCX-227,
"INDUSTRIA MONACO, E.I.R.L",131718906,EMAIL:industriamonaco@hotmail.com,INDIVIDUAL;CONSIGNEE,TEL: 809-7241815/ 829-621616,"CALLE 1 # 11 MAINARDI REYNA
SANTIAGO, REP. DOMINICANA, Santiago de los Caballeros",,,RNC,,DO,MCX-228,
EDUARDO POLANCO SRL,130276218,mcx-229@mcxpending.com,INDIVIDUAL;CONSIGNEE,8095787280,"C/Imbert # 91 moca , Rep?blica?dominicana, MOCA",,,RNC,,DO,MCX-229,
DHAYANA GUZMAN,MCX-230,mcx-230@mcxpending.com,INDIVIDUAL;CONSIGNEE,,La Vega,,,RNC,,DO,MCX-230,
LETICIA VERAS CAPRICHOSA,MCX-231,mcx-231@mcxpending.com,INDIVIDUAL;CONSIGNEE,+1 (829) 902-5143,Eden villa mella Santo Domingo norte  entrando por la gregorio Urbano gilbert suero aL lado del pica pollo el eden?/?Caprichosa,,,,,,MCX-231,
BBX COURRIER SRL,MCX-233,LOGISTICA@MEDINACARGOXPRESS.COM,INDIVIDUAL;CONSIGNEE,8093789453,"Calle la Ladera, Santo Domingo",,,RNC,,DO,MCX-233,
INGENICO,MCX-235,mcx-235@mcxpending.com,SHIPPER,,ZONA LIBRE COLON Panam?,,,,,,MCX-235,
SERVICIOS DE TELECOMUNICACIONES TECHCOMM SRL,130351511,mcx-236@mcxpending.com,CONSIGNEE,,"PANTOJA SANTO DOMINGO OESTE
REPUBLICA DOMINICANA",,,,,,MCX-236,
"ZHEJIANG HANGCHA IMP.& EXP. CO.,LTD.",MCX-237,mcx-237@mcxpending.com,SHIPPER,TEL: 86-571-88926778,"ADD: NO.398 SHI QIAO ROAD,HANGZHOU ZHEJIANG
PROVINCE,CHINA(310022)
",,,,,,MCX-237, FAX: 86-571-88926789
EUDIMIR CORREA,MCX-238,mcx-238@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-238,
JUANA LUISA RAMIREZ,MCX-239,mcx-239@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-239,
ING ROBERTO HERRERA SRL,101790458,mcx-240@mcxpending.com,CONSIGNEE,,"PRESIDENTE VASQUEZ, NO. 183 ALMA ROSA I SANTO DOMINGO ESTE
REPUBLICA DOMINICANA",,,,,,MCX-240,
PROMECO,MCX-241,mcx-241@mcxpending.com,INDIVIDUAL;CONSIGNEE,+1 (829) 585-5519,"Calle primera # 8 los hidalgos, SANTIAGO",,,,,,MCX-241,
TIENDA IMPORTADORA LISANDRO SRL,MCX-242,mcx-242@mcxpending.com,INDIVIDUAL;CONSIGNEE,,LICEY SANTIAGO,,,,,,MCX-242,
JOSE MIGUEL CABRERA,MCX-243,mcx-243@mcxpending.com,CONSIGNEE,8098275761,REPUBLICA DOMINICANA,,,,,,MCX-243,
JACQUELINE CABRERA,MCX-244,mcx-244@mcxpending.com,INDIVIDUAL;CONSIGNEE,774-712-7426,"112 BLUEFIELD ST. NEW BEDFORD, MA 02740",,,,,,MCX-244,
ROBERTO HERNANDEZ,MCX-245,mcx-245@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"DUARTE Y JOSE MARTIN, TIENDA DESIRE FASHION.",,,,,,MCX-245,
ARC INTERNATIONAL,MCX-246,mcx-246@mcxpending.com,INDIVIDUAL;CONSIGNEE,,Carolina del Norte 28278,,,,,,MCX-246,
RAFAEL RAMIREZ,MCX-247,mcx-247@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-247,
PL DOMINICANA,MCX-248,mcx-248@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-248,
EDUARDO JORGE,MCX-249,mcx-249@mcxpending.com,INDIVIDUAL;CONSIGNEE,8299397987,AV. MONUMENTAL SANTO DOMINGO.,,,,,,MCX-249,
P L DOMINICANA ENTERPRISE SRL,131480586,mcx-250@mcxpending.com,INDIVIDUAL;CONSIGNEE,809-967-8862,"AVENIDA 30 MARZO 114, DON BOSCO, SANTO DOMINGO.",,,,,,MCX-250,
EDDY MERCEDES,MCX-251,mcx-251@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,RNC,,DO,MCX-251,
LIRANZO ENRIQUE,MCX-252,mcx-252@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,RNC,,DO,MCX-252,
MARLENNY RAMIREZ,MCX-253,mcx-253@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,RNC,,DO,MCX-253,
DOFEX INVERSIONES,MCX-254,mcx-254@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,RNC,,DO,MCX-254,
MIGUEL BRITO,MCX-255,mcx-255@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,RNC,,DO,MCX-255,
JOSE VERAS,MCX-257,mcx-257@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-257,
N & N DRILLING SUPPLY MFR,MCX-259,mcx-259@mcxpending.com,SHIPPER,(570) 489-6761,"200 Clarkson avenue Jessup, PA 18434.",,,,,,MCX-259,
NORBERTO CUEVAS,MCX-260,mcx-260@mcxpending.com,INDIVIDUAL;CONSIGNEE,1 (829) 885-3051,,,,RNC,,DO,MCX-260,
TIENDA LA GRAN MARAVILLA EIRL,MCX-261,mcx-261@mcxpending.com,CONSIGNEE,(809) 380-1973,"Carretera Francisco del Rosario S?nchez, Ban?",,,RNC,,DO,MCX-261,
TIENDA LA MARAVILLA DAMA EIRL,MCX-262,mcx-262@mcxpending.com,CONSIGNEE,+1 (809) 846-4781,Ban?,,,RNC,,DO,MCX-262,
TIENDA LA MARAVILLITA EIRL,MCX-263,mcx-263@mcxpending.com,CONSIGNEE,(809) 522-2900,"Avenida Presidente Billini, Ban?",,,RNC,,DO,MCX-263,
RITCHIE BROS IRON PLANET,MCX-264,mcx-264@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"4000 Pine Lake Rd
Lincoln, NE USA, 68516",,,,,,MCX-264,
GAMATEC IMPORT INC,MCX-266,mcx-266@mcxpending.com,SHIPPER,"(507), 224.8068","Colon, Zona Libre, Manzana 48 del area Comercial de France Field, Lote No. 2 y 8, Rep. Panama",,,,,,MCX-266," Tel (s):(507), 224.8068 6949.7275 www.gamatec.com"
AIRES DOMINICANOS SRL,130045895,mcx-267@mcxpending.com,CONSIGNEE,(809) 686-6300,"AVE. SAN MARTIN, ESQU. DR. DELGADO SANTO DOMINGO Rep˙blica Dominicana",,,,,,MCX-267,
NTN SUDAMERICANAM S.A.,MCX-268,mcx-268@mcxpending.com,SHIPPER,,ZONA LIBRE DE COLON PANAMA,,,,,,MCX-268,
RODAMIENTOS IBERIA SRL,131413481,mcx-269@mcxpending.com,CONSIGNEE,1 809-289-4838,"AUTOPISTA DUARTE KM. 16, NO. 31 SANTO DOMINGO OESTE Rep˙blica Dominicana",,,,,,MCX-269,
Fern?ndez Garrido SAS,101023163,mcx-270@mcxpending.com,INDIVIDUAL;CONSIGNEE,809.682.0519,"Avenida Duarte No. 75 Villa Francisca, D. N Rep. Dom Contacto: Cinthia Abreu",,,,,,MCX-270,
"BAGUTA    R.U.C. 20141 -146 - 182894 D.V.40,",MCX-271,modatex@modatexzl.com,SHIPPER,(507) 441-6628,"CALLE C PO. BOX 0302-00499 ZONA LIBRE DE COLON COLON, REP DE PANAMA TELEFONOS: 441-6432 - 441-2165",,,,,,MCX-271,
DISTRIBUIDORA CALUM,MCX-272,mcx-272@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-272,
"Distribuidora Alondra, SRL",130120961,mcx-273@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-273,
JACKY CANTAVE ID R10035323,MCX-276,mcx-276@mcxpending.com,INDIVIDUAL;CONSIGNEE,+509 39 13 7777,CAMINO CHIQUITO ARROYO HONDO,,,RNC,,DO,MCX-276,
American President Lines (APL),CMDU,cmdu@mcxpending.com,CARRIER,,,,,,,,CMDU,
Arkas Line,ARKU,arku@mcxpending.com,CARRIER,,,,,,,,ARKU,
Australia National Line (ANL),ANNU,annu@mcxpending.com,CARRIER,,,,,,,,ANNU,
Cheng Lie Navigation Company (CNC),CMDU,cmdu@mcxpending.com,CARRIER,,,,,,,,CMDU,
China Shipping Container Company (CSCL),COSU,cosu@mcxpending.com,CARRIER,,,,,,,,COSU,
CK Line,CKLU,cklu@mcxpending.com,CARRIER,,,,,,,,CKLU,
CMA-CGM,CMDU,cmdu@mcxpending.com,CARRIER,,,,,,,,CMDU,
Compagnia Chilena de Navigacion Interoceanica SA (CCNI),SUDU,sudu@mcxpending.com,CARRIER,,,,,,,,SUDU,
Compania Sud Americana de Vapores (CSAV),HLCU,hlcu@mcxpending.com,CARRIER,,,,,,,,HLCU,
Containerships,CMDU,cmdu@mcxpending.com,CARRIER,,,,,,,,CMDU,
COSCO,COSU,cosu@mcxpending.com,CARRIER,,,,,,,,COSU,
Crowley,CMCU,cmcu@mcxpending.com,CARRIER,,,,,,,,CMCU,
Dongjin,DJLU,djlu@mcxpending.com,CARRIER,,,,,,,,DJLU,
Evergreen,EGLV,eglv@mcxpending.com,CARRIER,,,,,,,,EGLV,
Hamburg-S?d,SUDU,sudu@mcxpending.com,CARRIER,,,,,,,,SUDU,
Hapag-Lloyd,HLCU,hlcu@mcxpending.com,CARRIER,,,,,,,,HLCU,
Heung-A Shipping,HASL,hasl@mcxpending.com,CARRIER,,,,,,,,HASL,
Hyundai Merchant Marine (HMM),HDMU,hdmu@mcxpending.com,CARRIER,,,,,,,,HDMU,
Kawasaki Kisen Kaisha (K Line),ONEY,oney@mcxpending.com,CARRIER,,,,,,,,ONEY,
Korea Marine Transport (KMTC),KMTU,kmtu@mcxpending.com,CARRIER,,,,,,,,KMTU,
MacAndrews,CMDU,cmdu@mcxpending.com,CARRIER,,,,,,,,CMDU,
Maersk,MAEU,maeu@mcxpending.com,CARRIER,,,,,,,,MAEU,
Matson,MATS,mats@mcxpending.com,CARRIER,,,,,,,,MATS,
MCC Transport,MAEU,maeu@mcxpending.com,CARRIER,,,,,,,,MAEU,
Mitsui O.S.K. Lines (MOL),ONEY,oney@mcxpending.com,CARRIER,,,,,,,,ONEY,
Namsung,NSRU,nsru@mcxpending.com,CARRIER,,,,,,,,NSRU,
Nile Dutch Africa Line,HLCU,hlcu@mcxpending.com,CARRIER,,,,,,,,HLCU,
Nippon Yusen Kaisha (NYK Line),ONEY,oney@mcxpending.com,CARRIER,,,,,,,,ONEY,
Ocean Network Express (ONE),ONEY,oney@mcxpending.com,CARRIER,,,,,,,,ONEY,
Oldenburg-Portugiesische Dampfschiffs-Rheederei (OPDR),CMDU,cmdu@mcxpending.com,CARRIER,,,,,,,,CMDU,
Pacific International Line,PCIU,pciu@mcxpending.com,CARRIER,,,,,,,,PCIU,
Regional Container Lines (RCL),RCLU,rclu@mcxpending.com,CARRIER,,,,,,,,RCLU,
Safmarine,SAFM,safm@mcxpending.com,CARRIER,,,,,,,,SAFM,
Seago Line,MAEU,maeu@mcxpending.com,CARRIER,,,,,,,,MAEU,
Sealand,SEAU,seau@mcxpending.com,CARRIER,,,,,,,,SEAU,
Sinokor,SNKO,snko@mcxpending.com,CARRIER,,,,,,,,SNKO,
Sinotrans,STRS,strs@mcxpending.com,CARRIER,,,,,,,,STRS,
SITC,SITC,sitc@mcxpending.com,CARRIER,,,,,,,,SITC,
SM Line (SML),SMLM,smlm@mcxpending.com,CARRIER,,,,,,,,SMLM,
TS Line,TSTU,tstu@mcxpending.com,CARRIER,,,,,,,,TSTU,
United Arab Shipping Company (UASC),HLCU,hlcu@mcxpending.com,CARRIER,,,,,,,,HLCU,
W.E.C. (West European Container) Lines,WECU,wecu@mcxpending.com,CARRIER,,,,,,,,WECU,
Wan Hai,WHLC,whlc@mcxpending.com,CARRIER,,,,,,,,WHLC,
Westwood Shipping Lines,WWSU,wwsu@mcxpending.com,CARRIER,,,,,,,,WWSU,
Yang Ming,YMLU,ymlu@mcxpending.com,CARRIER,,,,,,,,YMLU,
ZIM,ZIMU,zimu@mcxpending.com,CARRIER,,,,,,,,ZIMU,
Atlantic Container Line,ACLU,aclu@mcxpending.com,CARRIER,,,,,,,,ACLU,
Cartonesa Sa de CV,MCX-323,mcx-323@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"Km 28 Carretera a Santa Ana
San Juan Opico, La Libertad
El Salvador",,,,,,MCX-323,
"ALMACENES SANTIAGO, C . POR A",102005982,ALMACENESSANTIAGO97@YAHOO.COM,INDIVIDUAL;CONSIGNEE,8095823470,"Del sol No 97 Santiago, Rep . Dominicana",,,,,,MCX-324,
M RODRIGUEZ & CO SRL,102000999,mcx-325@mcxpending.com,INDIVIDUAL;CONSIGNEE,8092247042 / 8095824044,"C/ DEL SOL #93, SANTIAGO, REPUBLICA DOMINICANA",,,RNC,,DO,MCX-325,
DANIEL GARCIA,MCX-326,mcx-326@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-326,
Aura Confecciones,131941631,mcx-327@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-327,
Westrock,MCX-328,mcx-328@mcxpending.com,INDIVIDUAL;CONSIGNEE,1.201.852.8355,"8440 Tewantin Dr, 
Houston, TX 77061 
John Bohorquez",,,,,,MCX-328,
LUCIEN LOVE,MCX-329,expertaenfiscalizacion@gmail.com,CONSIGNEE,18294582920,,,,,,,MCX-329,
YLSIA SANTIAGO,MCX-331,mcx-331@mcxpending.com,INDIVIDUAL;CONSIGNEE,+1 (849) 884-3720,"Cercano al estadio cibao, Santiago.",,,RNC,,DO,MCX-331,
GMAX MOBILE RD SRL,132162811,mcx-332@mcxpending.com,INDIVIDUAL;CONSIGNEE,8493566555,"CALLE JOSE MARTI, DUARTE, SANTO DOMINGO., santo domingo",,,RNC,,DO,MCX-332,
HM COMERCIAL,MCX-333,mcx-333@mcxpending.com,INDIVIDUAL;CONSIGNEE,(809) 593-0047,"Av Pdte E UreÒa 47 Sd, santo domingo ,Republica Dominicana",,,,,,MCX-333,
CAZA Y ASOCIADOS S.A,112107108,mcx-334@mcxpending.com,CONSIGNEE,829-883-8042,"6 Gaspar Hernandez
Higuey, La Altagracia 23000
DOMINICAN REPUBLIC",,,,,,MCX-334,
MONITO SRL,133261839,mcx-335@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"AUTOPISTA LAS AMERICAS KM 25, #30, LA CALETA, BOCA CHICA, SANTO DOMINGO.",,,,,,MCX-335,
EMPRESA DE PRUEBA,MCX-1000,INFO@555.COM,CONSIGNEE;COMPANY;CARRIER;SHIPPER,809-555-5555,"Juan Puablo Duerte # 1, Santo domingo",,,RNC,,DO,MCX-1000,Esta empresa no es real
"Qingdao PNTEK Machinery Co.,Ltd",MCX-339,mcx-339@mcxpending.com,INDIVIDUAL;CONSIGNEE,0086-18366260007,"6-8 BUILDING, NO.948 DONGXIN ROAD, GONGSHU DISTRICT, HANGZHOU CITY, 310022, CN",,,,,,MCX-339,
PL DOMINICANA,131480586,mcx-340@mcxpending.com,CONSIGNEE,809-967-8862,"PL DOMINICANA
AVENIDA 30 MARZO 114, DON BOSCO, SANTO DOMINGO.",,,,,,MCX-340,
CAPRICE TU ESTILO ERIL,130648026,mcx-341@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"C/  El CARMEN ESQ  RESTAURACION 49
Santo Domingo Este
Santo Domingo",,,,,,MCX-341,
ENGEL ROPA CASUAL SRL,131415921,mcx-343@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"Avenida Jose Ortega y Gasset esquina 34/A, Local numero#15, Cristo Rey SantoDomingo",,,,,,MCX-343,
